model,dimension,dialect,mean,ci_low,ci_high,sd,n,centered_mean
qwen2.5,approachability,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,approachability,CHD,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,approachability,JNN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,approachability,TYN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,approachability,WHN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,approachability,XIA,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,competence,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,competence,CHD,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,competence,JNN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,competence,TYN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,competence,WHN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,competence,XIA,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,educatedness,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,educatedness,CHD,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,educatedness,JNN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,educatedness,TYN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,educatedness,WHN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,educatedness,XIA,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,friendliness,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,friendliness,CHD,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,friendliness,JNN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,friendliness,TYN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,friendliness,WHN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,friendliness,XIA,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,likability,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,likability,CHD,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,likability,JNN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,likability,TYN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,likability,WHN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,likability,XIA,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,professionalism,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,professionalism,CHD,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,professionalism,JNN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,professionalism,TYN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,professionalism,WHN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,professionalism,XIA,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,trustworthiness,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,trustworthiness,CHD,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,trustworthiness,JNN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,trustworthiness,TYN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,trustworthiness,WHN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen2.5,trustworthiness,XIA,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,approachability,BEI,0.5222222222222223,0.35234981105287144,0.6920946333915731,0.5020592515465601,36.0,0.022222222222222254
qwen3,approachability,CHD,0.5111111111111111,0.3418817523867794,0.6803404698354427,0.5001587049714623,36.0,0.011111111111111072
qwen3,approachability,JNN,0.5277777777777778,0.35646732399129677,0.6990882315642588,0.506309397848002,36.0,0.02777777777777779
qwen3,approachability,TYN,0.40555555555555556,0.2417942261809423,0.5693168849301689,0.4839979010842591,36.0,-0.09444444444444444
qwen3,approachability,WHN,0.4833333333333333,0.31415767264580474,0.6525089940208618,0.5,36.0,-0.01666666666666672
qwen3,approachability,XIA,0.5555555555555556,0.38504251705489,0.7260685940562212,0.5039526306789697,36.0,0.05555555555555558
qwen3,competence,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,competence,CHD,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,competence,JNN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,competence,TYN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,competence,WHN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,competence,XIA,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,educatedness,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,educatedness,CHD,0.4444444444444444,0.27393140594377885,0.61495748294511,0.5039526306789697,36.0,-0.05555555555555558
qwen3,educatedness,JNN,0.4444444444444444,0.27393140594377885,0.61495748294511,0.5039526306789697,36.0,-0.05555555555555558
qwen3,educatedness,TYN,0.45000000000000007,0.28316059407623123,0.616839405923769,0.49309518061207736,36.0,-0.04999999999999993
qwen3,educatedness,WHN,0.3277777777777778,0.1708154549861732,0.4847401005693823,0.4639033834823252,36.0,-0.17222222222222222
qwen3,educatedness,XIA,0.3888888888888889,0.2247617853356584,0.5530159924421194,0.4850789495552114,36.0,-0.1111111111111111
qwen3,friendliness,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,friendliness,CHD,0.5277777777777778,0.35646732399129677,0.6990882315642588,0.506309397848002,36.0,0.02777777777777779
qwen3,friendliness,JNN,0.5277777777777778,0.35646732399129677,0.6990882315642588,0.506309397848002,36.0,0.02777777777777779
qwen3,friendliness,TYN,0.4722222222222222,0.3009117684357412,0.6435326760087032,0.506309397848002,36.0,-0.02777777777777779
qwen3,friendliness,WHN,0.49444444444444446,0.3244116501603738,0.6644772387285152,0.5025332651075772,36.0,-0.005555555555555536
qwen3,friendliness,XIA,0.5277777777777778,0.35646732399129677,0.6990882315642588,0.506309397848002,36.0,0.02777777777777779
qwen3,likability,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,likability,CHD,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,likability,JNN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,likability,TYN,0.4722222222222222,0.3009117684357412,0.6435326760087032,0.506309397848002,36.0,-0.02777777777777779
qwen3,likability,WHN,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,likability,XIA,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
qwen3,professionalism,BEI,0.5,0.3284245646881129,0.6715754353118871,0.50709255283711,36.0,0.0
